256
Atoms. Timestep: 66000
1 0.702825 2.71217 2.71612
1 16.9592 2.64886 6.79019
1 0.681418 2.68359 10.8911
1 16.96 2.6822 14.9396
1 0.659922 6.77858 2.72442
1 16.9873 6.7709 6.77907
1 0.676686 6.76797 10.8581
1 16.9295 6.74348 14.9315
1 16.9627 10.8427 2.65772
1 0.71771 10.878 6.75758
1 0.690236 10.8621 10.8204
1 0.648992 10.8012 14.8745
1 0.657668 14.92 2.65842
1 16.9507 14.8969 6.76586
1 0.657261 14.9271 10.8304
1 0.663609 14.9018 14.8394
1 4.73851 2.73441 2.72159
1 4.71394 2.68516 6.78935
1 4.70594 2.69554 10.8948
1 4.72138 2.72485 14.9901
1 4.72712 6.801 2.70335
1 4.71405 6.75803 6.78573
1 4.68325 6.76425 10.8909
1 4.74326 6.80879 14.9346
1 4.69965 10.8793 2.69776
1 4.71896 10.8662 6.77954
1 4.74233 10.8842 10.8515
1 4.7183 10.8095 14.9298
1 4.74122 14.9214 2.67495
1 4.75706 14.9459 6.7488
1 4.73486 14.9442 10.8066
1 4.67797 14.8702 14.9209
1 8.78665 2.69831 2.69027
1 8.81252 2.70817 6.75079
1 8.8014 2.6679 10.8577
1 8.77306 2.67178 14.9454
1 8.79452 6.75018 2.70645
1 8.78689 6.77841 6.79028
1 8.77548 6.76569 10.8713
1 8.85698 6.78454 14.9058
1 8.81633 10.8635 2.67747
1 8.81715 10.8399 6.74888
1 8.83123 10.8315 10.8037
1 8.83139 10.8546 14.8942
1 8.79039 14.9248 2.65337
1 8.82239 14.9325 6.7404
1 8.80141 14.9285 10.8262
1 8.75884 14.9148 14.9044
1 12.8634 2.66736 2.66923
1 12.9218 2.70417 6.75426
1 12.8786 2.67887 10.8524
1 12.8545 2.63601 14.9439
1 12.8755 6.81037 2.70534
1 12.9107 6.7615 6.75358
1 12.8958 6.74229 10.8578
1 12.8671 6.75552 14.9269
1 12.895 10.8451 2.67453
1 12.8928 10.8427 6.78117
1 12.8805 10.8316 10.7983
1 12.9016 10.8576 14.8822
1 12.9044 14.9301 2.6438
1 12.8428 14.8968 6.74687
1 12.857 14.9227 10.8282
1 12.8727 14.9185 14.8891
1 2.70201 0.68147 2.69057
1 2.65009 16.9277 6.786
1 2.67221 0.660114 10.8531
1 2.68627 0.630635 14.9036
1 2.67166 4.74204 2.72338
1 2.66222 4.67649 6.78322
1 2.66685 4.69672 10.8844
1 2.67018 4.73917 14.9825
1 2.67192 8.81378 2.72846
1 2.69026 8.8189 6.77651
1 2.68327 8.81863 10.8767
1 2.65236 8.7629 14.9522
1 2.66332 12.8711 2.63253
1 2.72274 12.9146 6.75865
1 2.68147 12.8887 10.824
1 2.66269 12.7927 14.9204
1 6.7541 0.672691 2.67377
1 6.7948 0.67299 6.74672
1 6.77937 0.647714 10.8317
1 6.71734 0.654872 14.9197
1 6.7933 4.7442 2.71996
1 6.74228 4.69816 6.8113
1 6.74782 4.7155 10.8885
1 6.7549 4.7621 14.9608
1 6.74471 8.83472 2.70502
1 6.75925 8.82933 6.76386
1 6.75463 8.79882 10.8601
1 6.7952 8.81069 14.9385
1 6.75828 12.8963 2.6766
1 6.74891 12.8905 6.72566
1 6.79518 12.9018 10.836
1 6.76065 12.8638 14.9133
1 10.7968 0.657893 2.64988
1 10.8451 0.688744 6.74345
1 10.8147 0.667603 10.854
1 10.791 16.9122 14.9204
1 10.8447 4.72274 2.69099
1 10.8591 4.71862 6.77257
1 10.8589 4.69463 10.8812
1 10.8172 4.68343 14.9352
1 10.8546 8.83376 2.69718
1 10.8391 8.81623 6.77807
1 10.8274 8.80369 10.8143
1 10.8446 8.84596 14.9022
1 10.8413 12.8849 2.66484
1 10.8293 12.881 6.74008
1 10.8417 12.8742 10.8034
1 10.836 12.9014 14.8964
1 14.9349 16.9162 2.65223
1 14.8922 16.9183 6.74723
1 14.9365 0.663108 10.845
1 14.9442 16.9448 14.9099
1 14.9222 4.7222 2.70981
1 14.9453 4.68856 6.79704
1 14.9186 4.71058 10.8655
1 14.8866 4.7054 14.929
1 14.909 8.82079 2.68762
1 14.9485 8.82943 6.78826
1 14.9434 8.77901 10.8465
1 14.8912 8.77358 14.9276
1 14.9492 12.8701 2.63915
1 14.9139 12.8797 6.77392
1 14.8942 12.8752 10.8322
1 14.9205 12.8701 14.8425
1 2.6921 2.68872 0.705245
1 2.70144 2.65709 4.74252
1 2.67252 2.68185 8.83519
1 2.68649 2.68975 12.9227
1 2.70257 6.75635 0.682032
1 2.67061 6.75702 4.72121
1 2.69995 6.75277 8.81967
1 2.65999 6.76075 12.9236
1 2.65658 10.7891 0.664352
1 2.67453 10.8783 4.68681
1 2.70335 10.8551 8.8481
1 2.69293 10.8234 12.8722
1 2.68811 14.9191 16.9206
1 2.67737 14.9343 4.73509
1 2.70212 14.9323 8.79845
1 2.68001 14.9133 12.8513
1 6.7629 2.68775 16.9702
1 6.74894 2.70697 4.73535
1 6.73799 2.71803 8.82989
1 6.7496 2.69127 12.9076
1 6.80392 6.81138 0.666618
1 6.74022 6.77678 4.72251
1 6.71983 6.75634 8.83583
